book_name,grouping,chapter,verse,mode
Sirakh,deutero,46,31,basic
Sirakh,deutero,46,32,basic
Sirakh,deutero,46,33,basic
Sirakh,deutero,46,34,basic
Sirakh,deutero,46,35,basic
Sirakh,deutero,46,36,basic
Sirakh,deutero,46,37,basic
Sirakh,deutero,46,38,basic
Sirakh,deutero,46,39,basic
Sirakh,deutero,46,40,basic
Sirakh,deutero,46,41,basic
Sirakh,deutero,46,42,basic
Sirakh,deutero,46,43,basic
Sirakh,deutero,46,44,basic
Sirakh,deutero,47,26,basic
Sirakh,deutero,47,27,basic
Sirakh,deutero,47,28,basic
Sirakh,deutero,47,29,basic
Sirakh,deutero,47,30,basic
Sirakh,deutero,47,31,basic
Sirakh,deutero,47,32,basic
Sirakh,deutero,47,33,basic
Sirakh,deutero,47,34,basic
Sirakh,deutero,47,35,basic
Sirakh,deutero,47,36,basic
Sirakh,deutero,47,37,basic
Sirakh,deutero,47,38,basic
Sirakh,deutero,47,39,basic
Sirakh,deutero,47,40,basic
Sirakh,deutero,47,41,basic
Sirakh,deutero,47,42,basic
Sirakh,deutero,47,43,basic
Sirakh,deutero,47,44,basic
Sirakh,deutero,47,45,basic
Sirakh,deutero,49,17,basic
Sirakh,deutero,49,18,basic
Sirakh,deutero,49,19,basic
Sirakh,deutero,49,20,basic
Sirakh,deutero,49,21,basic
Sirakh,deutero,49,22,basic
Sirakh,deutero,49,23,basic
Sirakh,deutero,49,24,basic
Sirakh,deutero,49,25,basic
Sirakh,deutero,49,26,basic
Sirakh,deutero,49,27,basic
Sirakh,deutero,49,28,basic
Sirakh,deutero,49,29,basic
Sirakh,deutero,49,30,basic
Sirakh,deutero,49,31,basic
Sirakh,deutero,49,32,basic
Sirakh,deutero,49,33,basic
Sirakh,deutero,49,34,basic
Sirakh,deutero,49,35,basic
Sirakh,deutero,49,36,basic
Sirakh,deutero,49,37,basic
Sirakh,deutero,49,38,basic
Sirakh,deutero,49,39,basic
Sirakh,deutero,49,40,basic
Sirakh,deutero,49,41,basic
Sirakh,deutero,49,42,basic
Sirakh,deutero,49,43,basic
Sirakh,deutero,49,44,basic
Sirakh,deutero,49,45,basic
Sirakh,deutero,49,46,basic
Sirakh,deutero,49,47,basic
Sirakh,deutero,50,30,basic
Sirakh,deutero,50,31,basic
Sirakh,deutero,50,32,basic
Sirakh,deutero,50,33,basic
Sirakh,deutero,50,34,basic
Sirakh,deutero,50,35,basic
Sirakh,deutero,50,36,basic
Sirakh,deutero,50,37,basic
Sirakh,deutero,50,38,basic
Sirakh,deutero,50,39,basic
Sirakh,deutero,50,40,basic
Sirakh,deutero,50,41,basic
Sirakh,deutero,50,42,basic
Sirakh,deutero,50,43,basic
Sirakh,deutero,50,44,basic
Sirakh,deutero,50,45,basic
Sirakh,deutero,50,46,basic
Sirakh,deutero,50,47,basic
